Name,Al Concentration (%),Fe Concentration (%),Ni Concentration (%),SIPFENN_Krajewski2022_NN30_endmembers,SIPFENN_Krajewski2022_NN30_dilute,Formation_H
2468_t1_dilute.POSCAR,9.090909090909092,50.0,40.909090909090914,,0.1150713786482811,0.1150713786482811
6981_t1_dilute.POSCAR,22.727272727272727,50.0,27.27272727272727,,0.1480084210634231,0.1480084210634231
7620_t1_dilute.POSCAR,0.0,68.18181818181817,31.818181818181817,,0.2576947510242462,0.2576947510242462
2655_t1_dilute.POSCAR,31.818181818181817,18.181818181818183,50.0,,-0.0157298855483531,-0.0157298855483531
727_t1_dilute.POSCAR,59.09090909090909,4.545454545454546,36.36363636363637,,-0.3570534288883209,-0.3570534288883209
4257_t1_dilute.POSCAR,40.909090909090914,59.09090909090909,0.0,,0.1294399052858352,0.1294399052858352
4269_t1_dilute.POSCAR,22.727272727272727,77.27272727272727,0.0,,0.09990706294775,0.09990706294775
719_t1_dilute.POSCAR,50.0,18.181818181818183,31.818181818181817,,-0.3864331543445587,-0.3864331543445587
7423_t1_dilute.POSCAR,22.727272727272727,36.36363636363637,40.909090909090914,,-0.0956350937485694,-0.0956350937485694
1021_t1_dilute.POSCAR,40.909090909090914,59.09090909090909,0.0,,0.1698028594255447,0.1698028594255447
4054_t1_dilute.POSCAR,18.181818181818183,77.27272727272727,4.545454545454546,,0.1667049676179886,0.1667049676179886
524_t1_dilute.POSCAR,27.27272727272727,50.0,22.727272727272727,,0.1145835742354393,0.1145835742354393
2456_t1_dilute.POSCAR,27.27272727272727,31.818181818181817,40.909090909090914,,-0.0764670744538307,-0.0764670744538307
3912_t1_dilute.POSCAR,54.54545454545454,40.909090909090914,4.545454545454546,,-0.3026061356067657,-0.3026061356067657
6967_t1_dilute.POSCAR,22.727272727272727,68.18181818181817,9.090909090909092,,0.153812363743782,0.153812363743782
6959_t1_dilute.POSCAR,31.818181818181817,59.09090909090909,9.090909090909092,,0.162579134106636,0.162579134106636
2088_t1_dilute.POSCAR,45.45454545454545,22.727272727272727,31.818181818181817,,-0.3242011368274688,-0.3242011368274688
5916_t1_dilute.POSCAR,68.18181818181817,0.0,31.818181818181817,,-0.4554286301136017,-0.4554286301136017
5928_t1_dilute.POSCAR,54.54545454545454,13.636363636363637,31.818181818181817,,-0.4032651484012604,-0.4032651484012604
4689_t1_dilute.POSCAR,22.727272727272727,59.09090909090909,18.181818181818183,,0.0947540625929832,0.0947540625929832
4_t1_dilute.POSCAR,95.45454545454544,0.0,4.545454545454546,,0.0163594670593738,0.0163594670593738
5811_t1_dilute.POSCAR,4.545454545454546,27.27272727272727,68.18181818181817,,0.0963554605841636,0.0963554605841636
3815_t1_dilute.POSCAR,40.909090909090914,9.090909090909092,50.0,,-0.0246929936110973,-0.0246929936110973
2589_t1_dilute.POSCAR,13.636363636363637,18.181818181818183,68.18181818181817,,-0.0106774969026446,-0.0106774969026446
6860_t1_dilute.POSCAR,31.818181818181817,54.54545454545454,13.636363636363637,,0.1788298040628433,0.1788298040628433
4388_t1_dilute.POSCAR,0.0,77.27272727272727,22.727272727272727,,0.2545957863330841,0.2545957863330841
7727_t1_dilute.POSCAR,4.545454545454546,50.0,45.45454545454545,,0.1632090955972671,0.1632090955972671
6886_t1_dilute.POSCAR,54.54545454545454,22.727272727272727,22.727272727272727,,-0.3532896935939789,-0.3532896935939789
1325_t1_dilute.POSCAR,50.0,31.818181818181817,18.181818181818183,,-0.3433964550495147,-0.3433964550495147
620_t1_dilute.POSCAR,45.45454545454545,22.727272727272727,31.818181818181817,,-0.3757845461368561,-0.3757845461368561
4350_t1_dilute.POSCAR,18.181818181818183,59.09090909090909,22.727272727272727,,0.163791075348854,0.163791075348854
1118_t1_dilute.POSCAR,40.909090909090914,54.54545454545454,4.545454545454546,,0.2058499008417129,0.2058499008417129
2752_t1_dilute.POSCAR,9.090909090909092,59.09090909090909,31.818181818181817,,0.1399081498384475,0.1399081498384475
1126_t1_dilute.POSCAR,45.45454545454545,50.0,4.545454545454546,,0.220036044716835,0.220036044716835
7524_t1_dilute.POSCAR,18.181818181818183,40.909090909090914,40.909090909090914,,0.0206533856689929,0.0206533856689929
2551_t1_dilute.POSCAR,13.636363636363637,36.36363636363637,50.0,,-0.0262179188430309,-0.0262179188430309
4153_t1_dilute.POSCAR,22.727272727272727,59.09090909090909,18.181818181818183,,0.1919673830270767,0.1919673830270767
423_t1_dilute.POSCAR,40.909090909090914,22.727272727272727,36.36363636363637,,-0.368993192911148,-0.368993192911148
7719_t1_dilute.POSCAR,4.545454545454546,50.0,45.45454545454545,,0.1647704988718032,0.1647704988718032
226_t1_dilute.POSCAR,77.27272727272727,0.0,22.727272727272727,,-0.3550743162631988,-0.3550743162631988
4756_t1_dilute.POSCAR,36.36363636363637,22.727272727272727,40.909090909090914,,-0.0628545060753822,-0.0628545060753822
2354_t1_dilute.POSCAR,22.727272727272727,36.36363636363637,40.909090909090914,,-0.0371783189475536,-0.0371783189475536
7321_t1_dilute.POSCAR,4.545454545454546,72.72727272727273,22.727272727272727,,0.1397387534379959,0.1397387534379959
2169_t1_dilute.POSCAR,59.09090909090909,4.545454545454546,36.36363636363637,,-0.2412497252225875,-0.2412497252225875
1723_t1_dilute.POSCAR,22.727272727272727,22.727272727272727,54.54545454545454,,-0.0451853089034557,-0.0451853089034557
2157_t1_dilute.POSCAR,31.818181818181817,18.181818181818183,50.0,,0.0552719421684742,0.0552719421684742
4555_t1_dilute.POSCAR,31.818181818181817,50.0,18.181818181818183,,0.1780324131250381,0.1780324131250381
1520_t1_dilute.POSCAR,45.45454545454545,40.909090909090914,13.636363636363637,,-0.2848547995090484,-0.2848547995090484
7122_t1_dilute.POSCAR,13.636363636363637,18.181818181818183,68.18181818181817,,0.0060616927221417,0.0060616927221417
4768_t1_dilute.POSCAR,18.181818181818183,40.909090909090914,40.909090909090914,,0.0758599266409874,0.0758599266409874
218_t1_dilute.POSCAR,77.27272727272727,0.0,22.727272727272727,,-0.3540373146533966,-0.3540373146533966
3412_t1_dilute.POSCAR,13.636363636363637,63.63636363636363,22.727272727272727,,0.1218907460570335,0.1218907460570335
8588_t1_dilute.POSCAR,0.0,50.0,50.0,,0.3323405683040619,0.3323405683040619
5010_t1_dilute.POSCAR,31.818181818181817,45.45454545454545,22.727272727272727,,0.1441399008035659,0.1441399008035659
