Name,SIPFENN_Krajewski2022_NN30
1_t1_endmembers.POSCAR,0.04686279967427254
2_t1_endmembers.POSCAR,-0.2313249558210373
3_t1_endmembers.POSCAR,-0.2837510406970978
4_t1_endmembers.POSCAR,-0.23269812762737274
5_t1_endmembers.POSCAR,-0.3001096546649933
6_t1_endmembers.POSCAR,-0.39137521386146545
7_t1_endmembers.POSCAR,-0.27829423546791077
8_t1_endmembers.POSCAR,-0.37918296456336975
9_t1_endmembers.POSCAR,-0.49487248063087463
10_t1_endmembers.POSCAR,-0.23357443511486053
11_t1_endmembers.POSCAR,-0.3088940680027008
12_t1_endmembers.POSCAR,-0.39162638783454895
13_t1_endmembers.POSCAR,-0.2922416627407074
14_t1_endmembers.POSCAR,0.12630702555179596
15_t1_endmembers.POSCAR,-0.3165793716907501
16_t1_endmembers.POSCAR,-0.3816245496273041
17_t1_endmembers.POSCAR,-0.31458619236946106
18_t1_endmembers.POSCAR,-0.3925113379955292
19_t1_endmembers.POSCAR,-0.2823542654514313
20_t1_endmembers.POSCAR,-0.38316330313682556
21_t1_endmembers.POSCAR,-0.5088489055633545
22_t1_endmembers.POSCAR,-0.3860291540622711
23_t1_endmembers.POSCAR,-0.31390687823295593
24_t1_endmembers.POSCAR,-0.3924886882305145
25_t1_endmembers.POSCAR,-0.48961141705513
26_t1_endmembers.POSCAR,-0.3854943811893463
27_t1_endmembers.POSCAR,-0.23326490819454193
28_t1_endmembers.POSCAR,-0.23520527780056
29_t1_endmembers.POSCAR,-0.30606380105018616
30_t1_endmembers.POSCAR,-0.3850989043712616
31_t1_endmembers.POSCAR,-0.2816827595233917
32_t1_endmembers.POSCAR,0.17168886959552765
33_t1_endmembers.POSCAR,-0.3219431936740875
34_t1_endmembers.POSCAR,-0.3633227050304413
35_t1_endmembers.POSCAR,-0.31860479712486267
36_t1_endmembers.POSCAR,-0.38642242550849915
37_t1_endmembers.POSCAR,-0.28072765469551086
38_t1_endmembers.POSCAR,0.10948213189840317
39_t1_endmembers.POSCAR,-0.258718341588974
40_t1_endmembers.POSCAR,0.17031987011432648
41_t1_endmembers.POSCAR,0.061651427298784256
42_t1_endmembers.POSCAR,0.12678314745426178
43_t1_endmembers.POSCAR,-0.3015897572040558
44_t1_endmembers.POSCAR,0.1562885195016861
45_t1_endmembers.POSCAR,-0.0345221571624279
46_t1_endmembers.POSCAR,-0.3874482810497284
47_t1_endmembers.POSCAR,-0.2910597622394562
48_t1_endmembers.POSCAR,-0.36993685364723206
49_t1_endmembers.POSCAR,-0.31843093037605286
50_t1_endmembers.POSCAR,0.12313994020223618
51_t1_endmembers.POSCAR,-0.004337112419307232
52_t1_endmembers.POSCAR,-0.38680300116539
53_t1_endmembers.POSCAR,-0.027051251381635666
54_t1_endmembers.POSCAR,-0.1114594116806984
55_t1_endmembers.POSCAR,-0.28655728697776794
56_t1_endmembers.POSCAR,-0.37735220789909363
57_t1_endmembers.POSCAR,-0.49237027764320374
58_t1_endmembers.POSCAR,-0.36612221598625183
59_t1_endmembers.POSCAR,-0.3133184015750885
60_t1_endmembers.POSCAR,-0.3817204535007477
61_t1_endmembers.POSCAR,-0.43853726983070374
62_t1_endmembers.POSCAR,-0.3878041207790375
63_t1_endmembers.POSCAR,-0.19136832654476166
64_t1_endmembers.POSCAR,-0.3897353708744049
65_t1_endmembers.POSCAR,-0.2839065492153168
66_t1_endmembers.POSCAR,-0.3654519021511078
67_t1_endmembers.POSCAR,-0.3058548867702484
68_t1_endmembers.POSCAR,0.14045371115207672
69_t1_endmembers.POSCAR,-0.024034779518842697
70_t1_endmembers.POSCAR,-0.39513906836509705
71_t1_endmembers.POSCAR,-0.05043504759669304
72_t1_endmembers.POSCAR,-0.12691591680049896
73_t1_endmembers.POSCAR,-0.5086721777915955
74_t1_endmembers.POSCAR,-0.3556826412677765
75_t1_endmembers.POSCAR,-0.23009686172008514
76_t1_endmembers.POSCAR,-0.37558725476264954
77_t1_endmembers.POSCAR,-0.0047577423974871635
78_t1_endmembers.POSCAR,-0.09188196808099747
79_t1_endmembers.POSCAR,-0.22347931563854218
80_t1_endmembers.POSCAR,-0.11720363050699234
81_t1_endmembers.POSCAR,-0.2567613422870636
82_t1_endmembers.POSCAR,-0.23657439649105072
83_t1_endmembers.POSCAR,-0.31252607703208923
84_t1_endmembers.POSCAR,-0.36509791016578674
85_t1_endmembers.POSCAR,-0.29731205105781555
86_t1_endmembers.POSCAR,0.18632663786411285
87_t1_endmembers.POSCAR,-0.33086803555488586
88_t1_endmembers.POSCAR,-0.35327479243278503
89_t1_endmembers.POSCAR,-0.3317951261997223
90_t1_endmembers.POSCAR,-0.389358252286911
91_t1_endmembers.POSCAR,-0.24744300544261932
92_t1_endmembers.POSCAR,0.2210603505373001
93_t1_endmembers.POSCAR,-0.29621586203575134
94_t1_endmembers.POSCAR,0.19754649698734283
95_t1_endmembers.POSCAR,0.1694359928369522
96_t1_endmembers.POSCAR,0.19656844437122345
97_t1_endmembers.POSCAR,-0.31430062651634216
98_t1_endmembers.POSCAR,0.20477212965488434
99_t1_endmembers.POSCAR,0.14544762670993805
100_t1_endmembers.POSCAR,-0.31058815121650696
101_t1_endmembers.POSCAR,-0.29193612933158875
102_t1_endmembers.POSCAR,-0.3323909342288971
103_t1_endmembers.POSCAR,-0.3057475984096527
104_t1_endmembers.POSCAR,0.2182237058877945
105_t1_endmembers.POSCAR,0.13288231194019318
106_t1_endmembers.POSCAR,-0.3583424389362335
107_t1_endmembers.POSCAR,0.12440308183431625
108_t1_endmembers.POSCAR,0.04710562899708748
109_t1_endmembers.POSCAR,-0.27219757437705994
110_t1_endmembers.POSCAR,0.16294635832309723
111_t1_endmembers.POSCAR,-0.26229730248451233
112_t1_endmembers.POSCAR,0.18759138882160187
113_t1_endmembers.POSCAR,0.1092197522521019
114_t1_endmembers.POSCAR,0.16039539873600006
