Name,Al Concentration (%),Fe Concentration (%),Ni Concentration (%)
327_t1_endmembers.POSCAR,54.54545454545454,27.27272727272727,18.181818181818183
150_t1_endmembers.POSCAR,9.090909090909092,54.54545454545454,36.36363636363637
129_t1_endmembers.POSCAR,27.27272727272727,36.36363636363637,36.36363636363637
534_t1_endmembers.POSCAR,36.36363636363637,18.181818181818183,45.45454545454545
57_t1_endmembers.POSCAR,63.63636363636363,0.0,36.36363636363637
691_t1_endmembers.POSCAR,18.181818181818183,36.36363636363637,45.45454545454545
415_t1_endmembers.POSCAR,54.54545454545454,27.27272727272727,18.181818181818183
662_t1_endmembers.POSCAR,18.181818181818183,54.54545454545454,27.27272727272727
206_t1_endmembers.POSCAR,9.090909090909092,54.54545454545454,36.36363636363637
395_t1_endmembers.POSCAR,0.0,63.63636363636363,36.36363636363637
111_t1_endmembers.POSCAR,45.45454545454545,36.36363636363637,18.181818181818183
366_t1_endmembers.POSCAR,0.0,81.81818181818183,18.181818181818183
16_t1_endmembers.POSCAR,63.63636363636363,18.181818181818183,18.181818181818183
575_t1_endmembers.POSCAR,36.36363636363637,36.36363636363637,27.27272727272727
586_t1_endmembers.POSCAR,54.54545454545454,18.181818181818183,27.27272727272727
702_t1_endmembers.POSCAR,0.0,18.181818181818183,81.81818181818183
168_t1_endmembers.POSCAR,45.45454545454545,18.181818181818183,36.36363636363637
623_t1_endmembers.POSCAR,36.36363636363637,36.36363636363637,27.27272727272727
454_t1_endmembers.POSCAR,18.181818181818183,45.45454545454545,36.36363636363637
247_t1_endmembers.POSCAR,72.72727272727273,27.27272727272727,0.0
203_t1_endmembers.POSCAR,9.090909090909092,72.72727272727273,18.181818181818183
469_t1_endmembers.POSCAR,36.36363636363637,27.27272727272727,36.36363636363637
410_t1_endmembers.POSCAR,36.36363636363637,45.45454545454545,18.181818181818183
694_t1_endmembers.POSCAR,36.36363636363637,18.181818181818183,45.45454545454545
667_t1_endmembers.POSCAR,54.54545454545454,0.0,45.45454545454545
289_t1_endmembers.POSCAR,54.54545454545454,27.27272727272727,18.181818181818183
52_t1_endmembers.POSCAR,45.45454545454545,18.181818181818183,36.36363636363637
531_t1_endmembers.POSCAR,18.181818181818183,36.36363636363637,45.45454545454545
322_t1_endmembers.POSCAR,36.36363636363637,9.090909090909092,54.54545454545454
155_t1_endmembers.POSCAR,27.27272727272727,36.36363636363637,36.36363636363637
548_t1_endmembers.POSCAR,36.36363636363637,18.181818181818183,45.45454545454545
428_t1_endmembers.POSCAR,18.181818181818183,45.45454545454545,36.36363636363637
242_t1_endmembers.POSCAR,9.090909090909092,18.181818181818183,72.72727272727273
