Name,SIPFENN_Krajewski2022_NN30
1_t1_dilute.POSCAR,-0.09880147129297256
2_t1_dilute.POSCAR,0.017418403178453445
3_t1_dilute.POSCAR,-0.09924528747797012
4_t1_dilute.POSCAR,0.016359467059373856
5_t1_dilute.POSCAR,-0.09917394071817398
6_t1_dilute.POSCAR,0.016989845782518387
7_t1_dilute.POSCAR,-0.0987568274140358
8_t1_dilute.POSCAR,0.018330473452806473
9_t1_dilute.POSCAR,-0.09906259924173355
10_t1_dilute.POSCAR,0.017797011882066727
11_t1_dilute.POSCAR,-0.09906867891550064
12_t1_dilute.POSCAR,0.013092835433781147
13_t1_dilute.POSCAR,-0.25738659501075745
14_t1_dilute.POSCAR,-0.26863589882850647
15_t1_dilute.POSCAR,-0.2571817934513092
16_t1_dilute.POSCAR,-0.26949837803840637
17_t1_dilute.POSCAR,-0.25776150822639465
18_t1_dilute.POSCAR,-0.26916298270225525
19_t1_dilute.POSCAR,-0.25817301869392395
20_t1_dilute.POSCAR,-0.26918575167655945
21_t1_dilute.POSCAR,-0.25823333859443665
22_t1_dilute.POSCAR,-0.2694455087184906
23_t1_dilute.POSCAR,-0.1919429749250412
24_t1_dilute.POSCAR,-0.24008940160274506
25_t1_dilute.POSCAR,-0.28236064314842224
26_t1_dilute.POSCAR,-0.34907254576683044
27_t1_dilute.POSCAR,-0.2841348946094513
28_t1_dilute.POSCAR,-0.3501681387424469
29_t1_dilute.POSCAR,-0.28297439217567444
30_t1_dilute.POSCAR,-0.3497455418109894
31_t1_dilute.POSCAR,-0.2834310829639435
32_t1_dilute.POSCAR,-0.350814551115036
33_t1_dilute.POSCAR,-0.28359201550483704
34_t1_dilute.POSCAR,-0.3508305251598358
35_t1_dilute.POSCAR,-0.1709185093641281
36_t1_dilute.POSCAR,-0.2503325045108795
37_t1_dilute.POSCAR,-0.26518669724464417
38_t1_dilute.POSCAR,-0.27256056666374207
39_t1_dilute.POSCAR,-0.2637060582637787
40_t1_dilute.POSCAR,-0.2719877064228058
41_t1_dilute.POSCAR,-0.26181963086128235
42_t1_dilute.POSCAR,-0.2705164849758148
43_t1_dilute.POSCAR,-0.26507046818733215
44_t1_dilute.POSCAR,-0.2725827991962433
45_t1_dilute.POSCAR,-0.19881539046764374
46_t1_dilute.POSCAR,-0.2370315045118332
47_t1_dilute.POSCAR,-0.2628268301486969
48_t1_dilute.POSCAR,-0.2705364525318146
49_t1_dilute.POSCAR,-0.29285505414009094
50_t1_dilute.POSCAR,-0.32931044697761536
51_t1_dilute.POSCAR,-0.2879279553890228
52_t1_dilute.POSCAR,-0.3264072835445404
53_t1_dilute.POSCAR,-0.2885883152484894
